,col,f1,recall,precision,TN,FP,FN,TP
0,m1,0.25,0.1875,0.375,24878,5,13,3
1,m2,0.2727272727272727,0.1875,0.5,24880,3,13,3
2,m3,0.25,0.1875,0.375,24878,5,13,3
3,m4,0.26086956521739124,0.1875,0.42857142857142855,24879,4,13,3
4,m5,0.2727272727272727,0.1875,0.5,24880,3,13,3
5,m6,0.26086956521739124,0.1875,0.42857142857142855,24879,4,13,3
6,m7,0.25,0.1875,0.375,24878,5,13,3
7,m9,0.3,0.1875,0.75,24882,1,13,3
8,ch1,0.26086956521739124,0.1875,0.42857142857142855,24879,4,13,3
9,ch2,0.3,0.1875,0.75,24882,1,13,3
10,ch4,0.18181818181818182,0.125,0.3333333333333333,24879,4,14,2
11,ch5,0.2857142857142857,0.1875,0.6,24881,2,13,3
12,ch6,0.24000000000000005,0.1875,0.3333333333333333,24877,6,13,3
13,ch7,0.25,0.1875,0.375,24878,5,13,3
14,sr2,0.25,0.1875,0.375,24878,5,13,3
15,sr3,0.2857142857142857,0.1875,0.6,24881,2,13,3
16,sr4,0.2222222222222222,0.1875,0.2727272727272727,24875,8,13,3
17,sr7,0.2727272727272727,0.1875,0.5,24880,3,13,3
18,sr9,0.26086956521739124,0.1875,0.42857142857142855,24879,4,13,3
19,srmx,0.2857142857142857,0.1875,0.6,24881,2,13,3
